YEAR,shannon
1999,55.3237163209283
2000,51.4313209128854
2004,60.5607369121836
2006,59.1098828133692
2008,59.892015588105
2010,57.1823715673739
2012,61.1365153920828
2014,58.2546128398569
2016,61.7708429800755
