YEAR,shannon
1999,43.1573566748547
2000,52.759130074707
2001,56.0503352501474
2002,60.8479804088098
2003,59.9011266136465
2005,62.0500404485483
2006,60.9942675091128
2007,58.1025791110102
2008,57.8101279871622
2009,62.2574063358395
2010,58.6944969066922
2011,62.1365776683699
2012,57.9567993767235
2014,56.4354536386393
2016,62.7440875246555
2018,57.8538605029741
