YEAR,simpson
1999,30.412811978308
2000,33.2669801640088
2001,32.9291989517061
2002,36.2673209939358
2003,39.2910262457391
2004,40.4787452820833
2005,35.6935940231096
2006,36.0689665309483
2007,38.0738658638691
2008,36.0750715182801
2009,34.6043392429053
2010,34.958186524401
2011,39.3371855595751
2012,37.8647464459729
2014,33.5913161133757
2016,38.0450895652593
2018,38.5501825677942
