YEAR,simpson
1999,35.8306496755358
2000,32.7964694607132
2004,37.8160936212027
2006,37.9741042598225
2008,37.9900159021766
2010,36.254833617317
2012,39.6203233274826
2014,37.2992784891171
2016,39.1500331008903
