YEAR,shannon
1999,46.5720987093147
2000,52.58058866741
2001,58.8746401880523
2002,62.3454230027457
2003,62.0910259095238
2004,54.7793825489786
2005,60.1886450645217
2006,61.0146795707424
2007,61.4670835264403
2008,59.5282467751002
2009,60.9932988595913
2010,54.9408574587116
2011,64.2629968518068
2012,55.3360204613479
2014,56.5897703900623
2016,62.4842674037804
2018,59.8962649212165
