YEAR,simpson
1999,29.1561904434868
2000,33.5448572599993
2001,37.8732231060664
2002,41.1499988602354
2003,41.5663074856535
2004,36.7585071029165
2005,37.64258864475
2006,37.9265170059387
2007,39.0683497135554
2008,38.4272361110084
2009,39.2062766758653
2010,33.2603005391286
2011,42.072299100113
2012,35.058438903584
2014,36.7524118816853
2016,40.095888886911
2018,38.1034864616994
