Year,Pseudodiploria strigosa,Undaria agaricites complex,Stephanocoenia intersepta,Solenastrea bournoni,Siderastrea siderea,Siderastrea radians,Scolymia sp_,Scleractinia,Porites astreoides,Pseudodiploria clivosa,Porites porites complex,Isophyllia rigida,Orbicella annularis complex,Oculina robusta,Oculina diffusa,Mycetophyllia lamarckiana complex,Mycetophyllia ferox,Mycetophyllia aliciae,Montastraea cavernosa,Mussa angulosa,Meandrina meandrites,Millepora complanata,Millepora alcicornis,Madracis decactis complex,Manicina areolata,Madracis aurentenra,Isophyllia sinuosa,Acropora cervicornis,Helioseris cucullata,Acropora palmata,Acropora prolifera,Agaricia fragilis,Agaricia lamarcki,Cladocora arbuscula,Dendrogyra cylindrus,Colpophyllia natans,Dichocoenia stokesii,Diploria labyrinthiformis,Favia fragum,Eusmilia fastigiata
2006,0.000767219,0.000242285,0.000628114,0.000224877,0.00597122,8.95835E-05,0,0.000525843,0.003930091,0.000640242,0.000391933,2.56709E-05,0.019679562,0,0.000390275,2.88802E-05,0.000019512,0.000171283,0.01075411,1.66795E-05,0.000403966,5.12352E-05,0.002250191,0,0,1.90665E-05,0,0.005789135,0,0.000570168,0.000784591,0,0,0,0.000183284,0.002528033,0.000307249,0.000181836,0.000011548,1.88549E-05
2007,0.000370088,0.000301955,0.000340351,0.000118398,0.00609813,3.44436E-05,0,0.000246009,0.003055776,0.001108391,0.000419737,0,0.019727087,0,0.000393778,0.000108358,7.82567E-05,7.37983E-05,0.01055537,0,0.000463301,0.00026118,0.002701741,1.82496E-05,0,6.1736E-06,0,0.006913776,0,0.000707785,0.001090939,0,2.32534E-06,0,0.000220313,0.003327358,0.000282591,0.000198135,3.99669E-06,3.12325E-05
2008,0.000504173,0.000468505,0.000637897,0.000141315,0.00637776,4.07821E-05,5.7625E-06,0.000239116,0.003461231,0.000932553,0.000495288,0,0.019792785,0,0.00021697,9.86216E-05,1.23787E-05,0.00014566,0.009733694,4.31752E-05,0.000393915,0.000251497,0.003633257,5.39585E-06,0,2.52301E-05,0,0.00713039,0,0.000810028,0.001037275,0,6.50841E-06,0,0.000312365,0.002233101,0.000280917,0.000277343,4.83557E-06,7.64988E-05
2009,0.000744792,0.000339862,0.000951278,9.07934E-05,0.008215277,0.000078935,4.42888E-06,5.88168E-05,0.003976185,0.000901392,0.001029411,0,0.025574196,0,0.000130971,0.000116757,0.000061337,0.000311803,0.013299808,5.39466E-05,0.000563991,0.00017673,0.004464667,9.53653E-06,0,2.47666E-05,0.000024256,0.00543931,1.84723E-05,0.000811257,0.001088488,0,8.8577E-06,0,0.000128811,0.006315801,0.00029802,0.000245222,0,0.000073526
2010,0.000764297,0.000534209,0.001133416,0.000246234,0.008200129,4.55044E-05,1.59627E-06,0.000110043,0.003258165,0.000698077,0.001055856,0,0.01410721,4.72642E-06,0.000124911,0.000113404,0.000160666,0.000101623,0.011313793,0,0.000813108,0.00024995,0.005035837,4.52775E-05,0,4.05768E-05,0,0.004063051,0,0.001022608,0.001004509,0,0.0000106,1.84335E-05,0.000224806,0.005114422,0.000266098,0.000229866,0,9.42684E-05
2011,0.000522045,0.000955787,0.001845876,0.000186339,0.009545532,0.000030168,5.22159E-06,2.52529E-05,0.004017193,0.000815329,0.00109792,0,0.014505858,8.36988E-06,0.00016468,0.00010724,0.000114997,0.000112992,0.012424954,1.30402E-05,0.000575536,0.000276376,0.006245293,0.000067947,1.26841E-05,2.34558E-05,1.26248E-05,0.002439626,4.26104E-06,0.001015184,0.001200486,0,8.0243E-06,3.08103E-05,0.000206072,0.004914915,0.000227462,0.000254594,0,0.000105259
2012,0.00114381,0.000799786,0.002001142,9.09355E-05,0.009762828,6.07081E-05,4.0243E-06,0.000111904,0.004983954,0.000469585,0.001313555,4.52219E-06,0.014643233,2.16688E-05,0.00016136,0.000104114,5.60159E-05,0.000127291,0.012495567,0.000060578,0.000520199,0.00017147,0.006517546,7.03251E-05,1.00254E-05,4.47663E-05,0,0.002543885,8.52207E-06,0.001087276,0.001267609,4.2204E-06,2.96995E-05,2.55026E-05,0.000154721,0.005154791,0.000378476,0.000294432,6.30008E-06,6.65096E-05
2013,0.000752254,0.001052466,0.001874316,0.000184968,0.009891971,3.15174E-05,1.21106E-05,7.53854E-05,0.00464104,0.000610901,0.000977062,0,0.014500591,3.06111E-05,9.76702E-05,0.000138005,2.11725E-05,0.000115747,0.01135405,2.02818E-05,0.000729007,0.000218762,0.005660388,4.17729E-05,4.02251E-06,0.000040693,0,0.001642752,1.16194E-05,0.001171182,0.001127181,0,3.12931E-05,0,0.000180554,0.004027022,0.000301115,0.000191842,3.60393E-06,9.40499E-05
2014,0.000667598,0.000975497,0.002164797,0.000381247,0.010434274,2.62739E-05,0,3.66503E-05,0.004483671,0.000826613,0.001150103,0,0.012701256,1.06707E-05,5.33556E-05,7.71493E-05,0.000110452,7.18616E-05,0.010622263,1.97014E-05,0.000713302,0.000225736,0.005696199,0.000059146,3.62916E-06,0.00010244,1.15249E-05,0.002230289,0,0.001224512,0.001123364,1.15471E-05,4.36632E-05,2.13165E-05,0.000107066,0.0058548,0.000394074,0.000257093,9.98585E-07,5.42048E-05
2015,0.000642471,0.000524921,0.00236085,0.000259537,0.011550616,2.24333E-05,4.27523E-06,3.50429E-05,0.004730411,0.00082483,0.001018865,0,0.012373245,0,7.23502E-05,5.91683E-05,8.39478E-05,0.000123599,0.011078368,2.60091E-05,0.000657713,8.54006E-05,0.004791243,4.70215E-05,3.43569E-05,5.72831E-05,0,0.001704608,0,0.000968947,0.001189003,0,2.82677E-05,3.59578E-06,5.40729E-05,0.005491873,0.000375469,0.000324665,3.28091E-06,9.09744E-05
2016,0.000619201,0.00052964,0.002482883,0.00014277,0.011536346,6.27003E-05,0,3.33893E-05,0.004694734,0.000642451,0.000807825,4.24401E-06,0.012893922,3.76275E-06,0.00010554,3.86446E-05,2.29972E-05,7.74755E-05,0.010933728,2.46545E-05,0.000265192,5.51011E-05,0.004628697,4.09918E-05,1.84775E-05,2.96961E-05,0,0.001108597,0,0.000912717,0.000807069,0,0.000071516,1.06351E-05,3.63707E-06,0.005488791,0.000367976,0.000347806,0,0.000066086
2017,0.000736156,0.00046433,0.002486732,0.000137389,0.011816843,0.000079223,0,0.000146828,0.005481684,0.000530628,0.000789674,0,0.009973135,0,0.000167138,2.63679E-05,1.19142E-05,0.000058601,0.010793243,0,0.000203055,6.87144E-05,0.00509752,0.000108872,2.05327E-05,4.89561E-05,0,0.000738381,0,0.000669224,0.001069226,1.31115E-05,2.33121E-05,3.68399E-06,0,0.004556354,0.000256926,0.000212989,0,5.93033E-05
